number,value,params_overbought_level,params_oversold_level,params_rsi_period,user_attrs_annualized_return,user_attrs_final_value,user_attrs_initial_capital,user_attrs_lost_trades,user_attrs_max_drawdown,user_attrs_pnl,user_attrs_pnl_pct,user_attrs_sharpe_ratio,user_attrs_strategy_params,user_attrs_total_return,user_attrs_total_trades,user_attrs_won_trades
0,-4.35851248144272,70,45,14,3.17705558560685e-06,10086.950608037301,10000.0,6,0.7371721324175878,86.95060803730121,0.00869506080373017,-4.35851248144272,"{'rsi_period': 14, 'oversold_level': 45, 'overbought_level': 70}",0.008657476470778667,20,14
1,-2.112712734426358,80,45,18,9.7482875187718e-06,10269.200537727178,10000.0,0,0.8394782889890469,269.200537727178,0.02692005377271789,-2.112712734426358,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564083488653155,5,4
2,-2.486917522486959,80,45,20,8.705343170384469e-06,10240.056663421867,10000.0,0,0.8418703647732934,240.0566634218667,0.024005666342186593,-2.486917522486959,"{'rsi_period': 20, 'oversold_level': 45, 'overbought_level': 80}",0.023722060139297677,4,3
3,-5.236205129403999,65,50,16,3.817847389750922e-06,10104.579401017765,10000.0,6,0.7382600612489083,104.57940101776512,0.010457940101776586,-5.236205129403999,"{'rsi_period': 16, 'oversold_level': 50, 'overbought_level': 65}",0.010403634137071262,29,23
4,-4.969134396271666,75,35,12,4.549843827678297e-06,10124.755022836338,10000.0,4,0.7344247686292955,124.75502283633796,0.01247550228363381,-4.969134396271666,"{'rsi_period': 12, 'oversold_level': 35, 'overbought_level': 75}",0.012398324430423359,17,13
5,-4.083897792312784,75,40,12,4.977331052979645e-06,10136.556249493173,10000.0,4,0.7335713261810799,136.5562494931728,0.01365562494931738,-4.083897792312784,"{'rsi_period': 12, 'oversold_level': 40, 'overbought_level': 75}",0.01356322711936953,18,14
6,-8.808538586405291,55,40,16,3.473272700034014e-06,10095.095997211809,10000.0,8,0.5175455660606658,95.09599721180894,0.009509599721180928,-8.808538586405291,"{'rsi_period': 16, 'oversold_level': 40, 'overbought_level': 55}",0.009464668107592687,35,27
7,-6.376412424150823,55,50,14,1.3896234855769401e-06,10037.939026959053,10000.0,20,0.6898108117627695,37.93902695905308,0.0037939026959052935,-6.376412424150823,"{'rsi_period': 14, 'oversold_level': 50, 'overbought_level': 55}",0.003786723998197162,72,52
8,-2.440219634814726,75,45,18,9.250318006805079e-06,10255.275022669975,10000.0,1,0.728127509258229,255.27502266997544,0.025527502266997626,-2.440219634814726,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 75}",0.02520711656854384,11,9
9,-2.9779508868944977,80,45,10,7.676926972930956e-06,10211.39975236062,10000.0,2,0.731263382485258,211.39975236061946,0.021139975236061925,-2.9779508868944977,"{'rsi_period': 10, 'oversold_level': 45, 'overbought_level': 80}",0.020919626001236858,17,14
10,-5.0763262939507205,60,50,12,2.5192519265422333e-06,10068.885793623313,10000.0,16,0.6879036975793891,68.88579362331257,0.006888579362331226,-5.0763262939507205,"{'rsi_period': 12, 'oversold_level': 50, 'overbought_level': 60}",0.006864961499827586,62,46
11,-3.8729658536929366,70,50,14,4.676196217614739e-06,10128.241680108273,10000.0,6,0.7381805330072159,128.2416801082727,0.012824168010827197,-3.8729658536929366,"{'rsi_period': 14, 'oversold_level': 50, 'overbought_level': 70}",0.012742634693000163,25,19
12,-2.112712734426358,80,45,18,9.7482875187718e-06,10269.200537727178,10000.0,0,0.8394782889890469,269.200537727178,0.02692005377271789,-2.112712734426358,"{'rsi_period': 18, 'oversold_level': 45, 'overbought_level': 80}",0.026564083488653155,5,4
13,-7.01137148648722,55,40,14,4.125959117441185e-06,10113.066813464704,10000.0,8,0.5169201756615169,113.06681346470396,0.011306681346470393,-7.01137148648722,"{'rsi_period': 14, 'oversold_level': 40, 'overbought_level': 55}",0.01124323859502723,40,32
14,-2.4612696630758917,80,40,16,8.827452716522917e-06,10243.464594012457,10000.0,0,0.8415899444669515,243.46459401245738,0.02434645940124569,-2.4612696630758917,"{'rsi_period': 16, 'oversold_level': 40, 'overbought_level': 80}",0.024054808652524948,5,4
15,-9.148954566658912,60,35,12,3.5433558798958453e-06,10097.024109085785,10000.0,8,0.5085436871721646,97.02410908578531,0.009702410908578596,-9.148954566658912,"{'rsi_period': 12, 'oversold_level': 35, 'overbought_level': 60}",0.009655644772716179,33,25
16,-4.152619432571325,60,50,18,2.201494974752369e-06,10060.171042868289,10000.0,9,0.6869729041861937,60.17104286828908,0.006017104286828889,-4.152619432571325,"{'rsi_period': 18, 'oversold_level': 50, 'overbought_level': 60}",0.005999073806200206,39,30
17,-2.486917522486959,80,45,20,8.705343170384469e-06,10240.056663421867,10000.0,0,0.8418703647732934,240.0566634218667,0.024005666342186593,-2.486917522486959,"{'rsi_period': 20, 'oversold_level': 45, 'overbought_level': 80}",0.023722060139297677,4,3
