number,value,params_fast_period,params_slow_period,params_stop_loss_pct,params_stop_loss_type,params_take_profit_atr_mult,user_attrs_annualized_return,user_attrs_final_value,user_attrs_initial_capital,user_attrs_lost_trades,user_attrs_max_drawdown,user_attrs_pnl,user_attrs_pnl_pct,user_attrs_sharpe_ratio,user_attrs_strategy_params,user_attrs_total_return,user_attrs_total_trades,user_attrs_won_trades
0,-8.552942091597277,10,50,0.04,fixed,4.0,9.764504377328033e-06,10045.115832024834,10000.0,2.0,0.21507899217378007,45.11583202483416,0.004511583202483349,-8.552942091597277,"{'fast_period': 10, 'slow_period': 50, 'stop_loss_pct': 0.04, 'take_profit_atr_mult': 4.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0045014365179482235,5.0,3.0
1,-4.124773253411543,18,40,0.04,fixed,2.0,-5.536477197732236e-06,9974.509384009652,10000.0,3.0,0.4318384331523912,-25.490615990347578,-0.0025490615990347854,-4.124773253411543,"{'fast_period': 18, 'slow_period': 40, 'stop_loss_pct': 0.04, 'take_profit_atr_mult': 2.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",-0.0025523159881545607,6.0,3.0
2,-3.860335095781761,7,30,0.02,trailing,3.5,9.626795680992335e-06,10044.478151055764,10000.0,5.0,0.3093580768909808,44.4781510557641,0.004447815105576458,-3.860335095781761,"{'fast_period': 7, 'slow_period': 30, 'stop_loss_pct': 0.02, 'take_profit_atr_mult': 3.5, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.004437952808937467,9.0,4.0
3,-3.959544027537525,7,30,0.025,fixed,3.5,9.452761183265648e-06,10043.672315869951,10000.0,5.0,0.30938289647267625,43.67231586995149,0.004367231586995146,-3.959544027537525,"{'fast_period': 7, 'slow_period': 30, 'stop_loss_pct': 0.025, 'take_profit_atr_mult': 3.5, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.004357722905485464,9.0,4.0
4,-10.338519467796486,14,25,0.035,trailing,2.5,5.506492495454393e-06,10025.417177419127,10000.0,2.0,0.31330380388529405,25.417177419127256,0.002541717741912697,-10.338519467796486,"{'fast_period': 14, 'slow_period': 25, 'stop_loss_pct': 0.035, 'take_profit_atr_mult': 2.5, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.002538493040404475,7.0,4.0
5,-3.82896107455155,17,30,0.01,trailing,4.0,1.5560935563109415e-06,10007.176164930566,10000.0,6.0,0.26580709530472774,7.176164930566301,0.0007176164930566831,-3.82896107455155,"{'fast_period': 17, 'slow_period': 30, 'stop_loss_pct': 0.01, 'take_profit_atr_mult': 4.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0007173591294593441,8.0,2.0
6,-6.352482732134662,5,50,0.02,trailing,4.0,8.86211532000501e-06,10040.937919292232,10000.0,4.0,0.174277915260851,40.93791929223153,0.004093791929223212,-6.352482732134662,"{'fast_period': 5, 'slow_period': 50, 'stop_loss_pct': 0.02, 'take_profit_atr_mult': 4.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.004085435162522309,8.0,4.0
7,-2.793345815162646,7,50,0.04,trailing,5.0,1.9413775248441644e-06,10008.953756486162,10000.0,4.0,0.3313610310734129,8.953756486162092,0.0008953756486163034,-2.793345815162646,"{'fast_period': 7, 'slow_period': 50, 'stop_loss_pct': 0.04, 'take_profit_atr_mult': 5.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0008949750389531597,6.0,2.0
8,-8.735703763142368,6,30,0.01,trailing,3.0,-4.439589635668851e-06,9979.55442139653,10000.0,9.0,0.2912729509635566,-20.445578603470494,-0.0020445578603470738,-8.735703763142368,"{'fast_period': 6, 'slow_period': 30, 'stop_loss_pct': 0.01, 'take_profit_atr_mult': 3.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",-0.00204665082204334,11.0,2.0
9,-9.150804490133225,10,30,0.03,trailing,2.0,3.8116664495397946e-06,10017.587229755729,10000.0,3.0,0.257039707655986,17.587229755728913,0.0017587229755728906,-9.150804490133225,"{'fast_period': 10, 'slow_period': 30, 'stop_loss_pct': 0.03, 'take_profit_atr_mult': 2.0, 'stop_loss_type': 'fixed', 'use_stop_loss': True, 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0017571782332378454,7.0,4.0
