number,value,params_atr_period,params_pullback_ma_period,params_reentry_cooldown_bars,params_require_volume_confirm,params_rsi_min,params_rsi_period,params_stop_loss_atr_mult,params_stop_loss_pct,params_take_profit_atr_mult,params_trend_long_period,params_trend_mid_period,params_use_invalidation,params_vol_ma_period,user_attrs_annualized_return,user_attrs_final_value,user_attrs_initial_capital,user_attrs_lost_trades,user_attrs_max_drawdown,user_attrs_pnl,user_attrs_pnl_pct,user_attrs_sharpe_ratio,user_attrs_strategy_params,user_attrs_total_return,user_attrs_total_trades,user_attrs_won_trades
0,-8.528538006005453,14.0,26,2,True,55,30,3.0,,2.5,260,35,True,25,1.926242218521675e-06,10052.628102339107,10000.0,1,0.14336498710718826,52.6281023391075,0.005262810233910731,-8.528538006005453,"{'trend_long_period': 260, 'trend_mid_period': 35, 'pullback_ma_period': 26, 'rsi_period': 30, 'rsi_min': 55, 'vol_ma_period': 25, 'require_volume_confirm': True, 'use_invalidation': True, 'reentry_cooldown_bars': 2, 'atr_period': 14, 'stop_loss_atr_mult': 3.0, 'take_profit_atr_mult': 2.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.005249010045471564,7,6
1,-4.322787165417992,14.0,20,4,False,45,22,2.0,,5.5,170,60,True,10,1.5734431876094816e-06,10042.96837734515,10000.0,20,1.0523974351475254,42.96837734515066,0.004296837734515169,-4.322787165417992,"{'trend_long_period': 170, 'trend_mid_period': 60, 'pullback_ma_period': 20, 'rsi_period': 22, 'rsi_min': 45, 'vol_ma_period': 10, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 4, 'atr_period': 14, 'stop_loss_atr_mult': 2.0, 'take_profit_atr_mult': 5.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.004287632686235838,34,14
2,-6.3040968840081995,28.0,16,8,True,45,28,4.0,,2.5,190,65,True,15,-5.586324351361735e-07,9984.788846846766,10000.0,8,0.7467605164570302,-15.211153153233681,-0.0015211153153233958,-6.3040968840081995,"{'trend_long_period': 190, 'trend_mid_period': 65, 'pullback_ma_period': 16, 'rsi_period': 28, 'rsi_min': 45, 'vol_ma_period': 15, 'require_volume_confirm': True, 'use_invalidation': True, 'reentry_cooldown_bars': 8, 'atr_period': 28, 'stop_loss_atr_mult': 4.0, 'take_profit_atr_mult': 2.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",-0.0015222733857460729,25,16
3,-3.9850635996404935,24.0,10,9,True,45,24,2.5,,4.5,280,40,False,15,1.5569888837485854e-06,10042.518081045047,10000.0,14,0.5883758635507813,42.51808104504744,0.004251808104504651,-3.9850635996404935,"{'trend_long_period': 280, 'trend_mid_period': 40, 'pullback_ma_period': 10, 'rsi_period': 24, 'rsi_min': 45, 'vol_ma_period': 15, 'require_volume_confirm': True, 'use_invalidation': False, 'reentry_cooldown_bars': 9, 'atr_period': 24, 'stop_loss_atr_mult': 2.5, 'take_profit_atr_mult': 4.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.004242794708214895,29,14
4,-6.515545375337279,12.0,14,7,False,55,26,4.0,,5.0,220,80,False,30,2.5320750506705576e-06,10069.237636980206,10000.0,6,0.44478541516143855,69.23763698020593,0.006923763698020613,-6.515545375337279,"{'trend_long_period': 220, 'trend_mid_period': 80, 'pullback_ma_period': 14, 'rsi_period': 26, 'rsi_min': 55, 'vol_ma_period': 30, 'require_volume_confirm': False, 'use_invalidation': False, 'reentry_cooldown_bars': 7, 'atr_period': 12, 'stop_loss_atr_mult': 4.0, 'take_profit_atr_mult': 5.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.006899904513077269,17,10
5,-15.188282455754827,28.0,14,0,False,60,8,1.5,,3.5,200,45,True,10,1.4035938474413616e-06,10038.32117090355,10000.0,4,0.14362670698942498,38.3211709035495,0.003832117090355025,-15.188282455754827,"{'trend_long_period': 200, 'trend_mid_period': 45, 'pullback_ma_period': 14, 'rsi_period': 8, 'rsi_min': 60, 'vol_ma_period': 10, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 0, 'atr_period': 28, 'stop_loss_atr_mult': 1.5, 'take_profit_atr_mult': 3.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.00382479323427771,9,5
6,-3.0607255333621457,22.0,12,5,False,45,14,3.0,,6.0,270,55,True,30,1.4493323572895735e-06,10039.572399522875,10000.0,17,0.810872955021461,39.57239952287455,0.003957239952287361,-3.0607255333621457,"{'trend_long_period': 270, 'trend_mid_period': 55, 'pullback_ma_period': 12, 'rsi_period': 14, 'rsi_min': 45, 'vol_ma_period': 30, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 5, 'atr_period': 22, 'stop_loss_atr_mult': 3.0, 'take_profit_atr_mult': 6.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0039494306736140876,33,15
7,-10.992107459451146,24.0,14,3,True,55,30,3.0,,5.5,210,60,False,10,1.2141913599173969e-06,10033.141511510132,10000.0,8,0.317697374565097,33.14151151013175,0.0033141511510130783,-10.992107459451146,"{'trend_long_period': 210, 'trend_mid_period': 60, 'pullback_ma_period': 14, 'rsi_period': 30, 'rsi_min': 55, 'vol_ma_period': 10, 'require_volume_confirm': True, 'use_invalidation': False, 'reentry_cooldown_bars': 3, 'atr_period': 24, 'stop_loss_atr_mult': 3.0, 'take_profit_atr_mult': 5.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0033086714557749065,14,5
8,-20.89466728209428,22.0,24,0,False,60,14,4.0,,3.5,190,80,True,25,6.013278432524805e-07,10016.399616415503,10000.0,0,0.14394136597160562,16.39961641550326,0.001639961641550336,-20.89466728209428,"{'trend_long_period': 190, 'trend_mid_period': 80, 'pullback_ma_period': 24, 'rsi_period': 14, 'rsi_min': 60, 'vol_ma_period': 25, 'require_volume_confirm': False, 'use_invalidation': True, 'reentry_cooldown_bars': 0, 'atr_period': 22, 'stop_loss_atr_mult': 4.0, 'take_profit_atr_mult': 3.5, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0016386183728630092,1,1
9,-4.660258529976363,30.0,24,1,False,50,14,1.0,,5.0,200,45,False,10,1.5506759746427855e-06,10042.345324333028,10000.0,27,0.8828870311276126,42.34532433302775,0.004234532433302851,-4.660258529976363,"{'trend_long_period': 200, 'trend_mid_period': 45, 'pullback_ma_period': 24, 'rsi_period': 14, 'rsi_min': 50, 'vol_ma_period': 10, 'require_volume_confirm': False, 'use_invalidation': False, 'reentry_cooldown_bars': 1, 'atr_period': 30, 'stop_loss_atr_mult': 1.0, 'take_profit_atr_mult': 5.0, 'use_stop_loss': True, 'stop_loss_type': 'atr', 'use_take_profit': True, 'take_profit_type': 'atr'}",0.0042255920309015906,42,15
